statement,label,statement_id,source
The giant anteater uses walking for locomotion.,1,50,animals
The iguana has a diet of herbivore.,1,51,animals
The panda is a mammal.,1,52,animals
The gazelle uses running for locomotion.,1,53,animals
The mongoose has a habitat of various.,1,54,animals
"The alpaca has thick, luxurious wool and is a smaller relative of the llama.",1,55,animals
The giraffe is a mammal.,1,56,animals
The dog is a mammal.,1,57,animals
The polar bear has a diet of carnivore.,1,58,animals
The ostrich has a diet of herbivore.,1,59,animals
"The otter has a thick, water-resistant fur and uses tools to crack open shellfish.",1,60,animals
"Human uses for platypus include research, conservation.",1,61,animals
The walrus uses swimming for locomotion.,1,62,animals
The rhinoceros has a diet of herbivore.,1,63,animals
The raccoon is a mammal.,1,64,animals
The octopus is a mollusk.,1,65,animals
There are no specific human uses for frog.,1,66,animals
The cow has a habitat of farmland.,1,67,animals
The bee uses flying for locomotion.,1,68,animals
The wolverine has a habitat of arctic/subarctic.,1,69,animals
The gorilla is the largest primate and exhibits complex social behavior.,1,70,animals
"The goat is known for its agility and can climb steep terrain, and has a rectangular pupil.",1,71,animals
The rhinoceros uses walking for locomotion.,1,72,animals
The moose has a diet of herbivore.,1,73,animals
The camel has a habitat of desert.,1,74,animals
"Human uses for camel include transportation, meat, milk, wool.",1,75,animals
The llama uses walking for locomotion.,1,76,animals
The hamster has a habitat of desert.,1,77,animals
The giant anteater has a diet of insectivore.,1,78,animals
The tortoise is a reptile.,1,79,animals
There are no specific human uses for jellyfish.,1,80,animals
The zebra has a diet of herbivore.,1,81,animals
The giant anteater is a mammal.,1,82,animals
There are no specific human uses for skunk.,1,83,animals
The goat has a diet of herbivore.,1,84,animals
The eagle is a powerful bird of prey with keen eyesight and strong talons for catching prey.,1,85,animals
The kangaroo uses hopping for locomotion.,1,86,animals
"The aardvark has a long, tubular snout, large ears, and a powerful digging ability to locate and consume termites and ants.",1,87,animals
The mongoose uses walking for locomotion.,1,88,animals
The deer is a mammal.,1,89,animals
The polar bear is a mammal.,1,90,animals
"Human uses for dolphin include research, entertainment, therapy.",1,91,animals
The otter has a habitat of freshwater/marine.,1,92,animals
The cow is a mammal.,1,93,animals
The kangaroo is a mammal.,1,94,animals
The snake can unhinge its jaw to swallow large prey whole and some species have heat-sensing pits.,1,95,animals
The flamingo is a bird.,1,96,animals
The bison has a diet of herbivore.,1,97,animals
"Human uses for tarantula include pets, research.",1,98,animals
The raccoon has a diet of omnivore.,1,99,animals
The narwhal has a habitat of arctic.,1,100,animals
The bee has a diet of nectar.,1,101,animals
The dog uses walking for locomotion.,1,102,animals
The mongoose has a diet of carnivore.,1,103,animals
"Human uses for cheetah include conservation, research, zoos.",1,104,animals
The chimpanzee shares over 98% of its dna with humans and can use tools and learn sign language.,1,105,animals
The hedgehog uses walking for locomotion.,1,106,animals
The octopus uses swimming for locomotion.,1,107,animals
The shark has multiple rows of teeth that are continuously replaced throughout its life.,1,108,animals
The platypus is a mammal.,1,109,animals
"The tarantula is a large, hairy spider with venomous fangs and can flick irritating hairs from its abdomen when threatened.",1,110,animals
The eagle has a habitat of various.,1,111,animals
"The axolotl exhibits neoteny, retaining larval features throughout its life, and has remarkable regenerative abilities.",1,112,animals
The dolphin has a habitat of marine.,1,113,animals
There are no specific human uses for porcupine.,1,114,animals
The cow uses walking for locomotion.,1,115,animals
The dog has a diet of omnivore.,1,116,animals
The penguin uses walking/swimming for locomotion.,1,117,animals
The deer has a habitat of forest/grassland.,1,118,animals
"The jellyfish has a gelatinous bell and stinging tentacles to capture prey, and some species are bioluminescent.",1,119,animals
"Human uses for whale include tourism, research, conservation.",1,120,animals
"The armadillo has a hard, bony armor for protection and can curl into a ball to defend itself.",1,121,animals
"The rhinoceros has thick skin and one or two horns made of keratin, and is often targeted by poachers for its horn.",1,122,animals
"Human uses for beaver include fur, research.",1,123,animals
The flamingo uses wading for locomotion.,1,124,animals
The frog has a diet of carnivore.,1,125,animals
The rabbit has a diet of herbivore.,1,126,animals
The bee has a habitat of various.,1,127,animals
The seagull has a habitat of coastal.,1,128,animals
The penguin is flightless and has adapted flippers for swimming.,1,129,animals
The hyena has a diet of carnivore.,1,130,animals
The sea turtle uses swimming for locomotion.,1,131,animals
The wolverine has a diet of carnivore.,1,132,animals
"The camel has humps that store fat, which can be metabolized for energy and water during long treks.",1,133,animals
"The elephant has a long trunk used for grasping, eating, drinking, and communication.",1,134,animals
"Human uses for eagle include conservation, research.",1,135,animals
"The moose is the largest deer species and has broad, flat antlers that are shed and regrown annually.",1,136,animals
The tarantula has a diet of insectivore.,1,137,animals
The tapir is a mammal.,1,138,animals
The frog is a amphibian.,1,139,animals
The frog uses jumping for locomotion.,1,140,animals
"Human uses for snake include pets, research, venom extraction.",1,141,animals
"The sea turtle has a hard shell for protection and can live for over 100 years, returning to the same nesting beaches to lay eggs.",1,142,animals
There are no specific human uses for aardvark.,1,143,animals
The raccoon has a habitat of forest/urban.,1,144,animals
The swan has a diet of herbivore.,1,145,animals
"Human uses for axolotl include pets, research, conservation.",1,146,animals
The tarantula uses walking for locomotion.,1,147,animals
The peacock has an iridescent tail with eye-like patterns used in courtship displays.,1,148,animals
"The narwhal has a long, spiral tusk, which is actually an elongated tooth, and can dive to great depths.",1,149,animals
The tortoise has a diet of herbivore.,1,150,animals
"Human uses for gorilla include conservation, research, zoos.",1,151,animals
The chicken has a diet of omnivore.,1,152,animals
The whale uses swimming for locomotion.,1,153,animals
The koala has a habitat of forest.,1,154,animals
The seahorse uses swimming for locomotion.,1,155,animals
The flamingo has a habitat of coastal/alkaline lakes.,1,156,animals
"The kangaroo has a pouch for carrying and nursing its young, called joeys.",1,157,animals
The goat uses walking for locomotion.,1,158,animals
The aardvark has a diet of insectivore.,1,159,animals
The goldfish has a diet of omnivore.,1,160,animals
The whale has a diet of carnivore/herbivore.,1,161,animals
The rabbit is a mammal.,1,162,animals
There are no specific human uses for raccoon.,1,163,animals
There are no specific human uses for armadillo.,1,164,animals
"Human uses for swan include tourism, ornamental displays.",1,165,animals
The armadillo has a diet of insectivore.,1,166,animals
The hyena is a mammal.,1,167,animals
The rat has a long tail for balance and is an excellent climber and swimmer.,1,168,animals
The polar bear has a habitat of polar.,1,169,animals
The chicken uses walking for locomotion.,1,170,animals
The penguin has a diet of carnivore.,1,171,animals
The seagull uses flying for locomotion.,1,172,animals
The gorilla is a mammal.,1,173,animals
There are no specific human uses for moose.,1,174,animals
The rhinoceros has a habitat of grassland/forest.,1,175,animals
The vulture has a habitat of various.,1,176,animals
"The cow is a ruminant animal with four stomach compartments, which aids in digestion.",1,177,animals
There are no specific human uses for deer.,1,178,animals
The cat isn't very social but is adored by many humans and has retractable claws for climbing and hunting.,1,179,animals
The bat has a habitat of various.,1,180,animals
The lobster uses walking/swimming for locomotion.,1,181,animals
The cassowary has a diet of omnivore.,1,182,animals
The slug has a habitat of various.,1,183,animals
The lobster has a habitat of marine.,1,184,animals
"The swan has a long, graceful neck and is known for its beauty and aggressive behavior when defending its territory.",1,185,animals
The gecko has a habitat of various.,1,186,animals
The horse has a diet of herbivore.,1,187,animals
The tortoise has a habitat of terrestrial.,1,188,animals
The bison has a habitat of grassland.,1,189,animals
"Human uses for lobster include food, research.",1,190,animals
The shark is a fish.,1,191,animals
The parrot is a bird.,1,192,animals
"The sparrow is a small, social bird that can be found in many urban environments.",1,193,animals
"Human uses for seahorse include research, conservation.",1,194,animals
"Human uses for leopard include conservation, research, zoos.",1,195,animals
The dolphin is highly intelligent and known for its playful and social behavior.,1,196,animals
The giraffe uses walking for locomotion.,1,197,animals
The cassowary is a bird.,1,198,animals
The tapir has a diet of herbivore.,1,199,animals
"Human uses for walrus include research, conservation.",1,200,animals
The lion is a mammal.,1,201,animals
The salmon migrates from freshwater to saltwater habitats during its life cycle.,1,202,animals
The llama has thick wool for insulation and can spit when threatened or annoyed.,1,203,animals
The platypus has a diet of carnivore.,1,204,animals
The armadillo has a habitat of various.,1,205,animals
"The giraffe has an extremely long neck, which enables it to reach leaves on tall trees.",1,206,animals
The porcupine is a mammal.,1,207,animals
The walrus has a habitat of polar.,1,208,animals
The tuna is a fast swimmer and can maintain high speeds for extended periods of time.,1,209,animals
The frog has a habitat of freshwater.,1,210,animals
The tuna has a habitat of marine.,1,211,animals
The squirrel can jump long distances and has a bushy tail for balance.,1,212,animals
"The octopus has three hearts, nine brains, and can change color and texture for camouflage.",1,213,animals
The squirrel is a mammal.,1,214,animals
The seahorse has a diet of carnivore.,1,215,animals
The bee is a insect.,1,216,animals
"Human uses for ostrich include tourism, zoos, meat, feathers.",1,217,animals
"The frog has permeable skin that can absorb water and respire oxygen, and changes color to blend with its environment.",1,218,animals
The otter uses swimming for locomotion.,1,219,animals
The hippopotamus is a mammal.,1,220,animals
"Human uses for bison include conservation, meat, leather.",1,221,animals
The cat is a mammal.,1,222,animals
"Human uses for polar bear include conservation, research.",1,223,animals
The giraffe has a diet of herbivore.,1,224,animals
The beaver has a diet of herbivore.,1,225,animals
The leopard uses walking for locomotion.,1,226,animals
The camel is a mammal.,1,227,animals
The gecko has adhesive pads on its toes for climbing and some species can regenerate lost tails.,1,228,animals
"Human uses for rhinoceros include conservation, research, zoos.",1,229,animals
The platypus has a habitat of freshwater.,1,230,animals
The peacock has a habitat of forest/grassland.,1,231,animals
The raccoon has dexterous front paws and a distinctive black mask on its face.,1,232,animals
The zebra uses walking for locomotion.,1,233,animals
The gazelle has a diet of herbivore.,1,234,animals
"Human uses for llama include pets, transport, wool.",1,235,animals
"Human uses for tiger include conservation, research, zoos.",1,236,animals
The dog has a strong sense of smell and is known for its loyalty to humans.,1,237,animals
The leopard is a mammal.,1,238,animals
The gorilla uses knuckle-walking for locomotion.,1,239,animals
The mongoose is a mammal.,1,240,animals
"Human uses for lion include conservation, research, zoos.",1,241,animals
The crocodile uses walking/swimming for locomotion.,1,242,animals
The hummingbird has a habitat of various.,1,243,animals
The narwhal has a diet of carnivore.,1,244,animals
The aardvark has a habitat of savanna.,1,245,animals
The giraffe has a habitat of savanna.,1,246,animals
The octopus has a diet of carnivore.,1,247,animals
The chicken has a comb and wattles on its head for thermoregulation.,1,248,animals
The chicken is a bird.,1,249,animals
There are no specific human uses for crocodile.,1,250,animals
The tapir uses walking for locomotion.,1,251,animals
"Human uses for hedgehog include pets, pest control.",1,252,animals
The hyena has strong jaws and teeth for crushing bones and a complex social structure with a female-dominated hierarchy.,1,253,animals
The tiger has a habitat of forest.,1,254,animals
"Human uses for narwhal include research, conservation.",1,255,animals
The aardvark uses walking for locomotion.,1,256,animals
The tuna has a diet of carnivore.,1,257,animals
The squirrel has a diet of herbivore.,1,258,animals
The polar bear uses walking/swimming for locomotion.,1,259,animals
The tortoise has a hard shell for protection and can live for over 100 years.,1,260,animals
"Human uses for cassowary include conservation, research, zoos.",1,261,animals
"Human uses for kangaroo include tourism, zoos, meat.",1,262,animals
The tuna is a fish.,1,263,animals
The tapir has a habitat of forest.,1,264,animals
The dolphin is a mammal.,1,265,animals
The octopus has a habitat of marine.,1,266,animals
The skunk uses walking for locomotion.,1,267,animals
The gecko is a reptile.,1,268,animals
The crocodile has a diet of  carnivore.,1,269,animals
The penguin is a bird.,1,270,animals
The hamster is nocturnal and has large cheek pouches to store and transport food.,1,271,animals
The shark uses swimming for locomotion.,1,272,animals
"The deer has antlers that are shed and regrown annually, and is a good swimmer.",1,273,animals
The goldfish has a habitat of freshwater.,1,274,animals
The lobster has a diet of omnivore.,1,275,animals
The tiger has a diet of carnivore.,1,276,animals
The cheetah uses running for locomotion.,1,277,animals
The kangaroo has a habitat of grasslands.,1,278,animals
The hedgehog has a habitat of various.,1,279,animals
The salmon has a diet of carnivore.,1,280,animals
Human uses for tuna include food.,1,281,animals
The porcupine has a diet of herbivore.,1,282,animals
"Human uses for tapir include conservation, research, zoos.",1,283,animals
The axolotl has a habitat of freshwater.,1,284,animals
The chimpanzee has a habitat of forest.,1,285,animals
The bat is a mammal.,1,286,animals
The platypus is a monotreme that lays eggs and has a duck-like bill with electroreceptors to locate prey.,1,287,animals
There are no specific human uses for shark.,1,288,animals
"The walrus has long tusks for fighting and digging, and thick blubber for insulation in cold water.",1,289,animals
"Human uses for dog include pets, service animals, herding, hunting, therapy.",1,290,animals
The axolotl uses swimming for locomotion.,1,291,animals
The narwhal is a mammal.,1,292,animals
The leopard has a habitat of forest/grassland.,1,293,animals
"The gazelle has slender legs for fast running and can perform high leaps, known as pronking.",1,294,animals
"Human uses for goat include meat, milk, cheese, leather.",1,295,animals
"Human uses for koala include conservation, research, zoos.",1,296,animals
The cheetah has a habitat of grassland.,1,297,animals
The salmon has a habitat of freshwater/marine.,1,298,animals
The eagle has a diet of carnivore.,1,299,animals
The cat has a habitat of domestic/urban.,1,300,animals
The whale has a habitat of marine.,1,301,animals
The deer uses walking for locomotion.,1,302,animals
The hippopotamus has a habitat of freshwater.,1,303,animals
The pigeon has a diet of herbivore.,1,304,animals
The slug uses sliding for locomotion.,1,305,animals
The rat uses walking for locomotion.,1,306,animals
The goldfish uses swimming for locomotion.,1,307,animals
"The bee is a social insect that lives in colonies with a queen, workers, and drones.",1,308,animals
The hedgehog is a mammal.,1,309,animals
The iguana has a habitat of various.,1,310,animals
The elephant has a diet of herbivore.,1,311,animals
"Human uses for horse include transportation, racing, therapy, work.",1,312,animals
The manta ray uses swimming for locomotion.,1,313,animals
The peacock uses walking for locomotion.,1,314,animals
Human uses for bat include pest control.,1,315,animals
The gecko uses climbing for locomotion.,1,316,animals
There are no specific human uses for wolverine.,1,317,animals
The manta ray has a habitat of marine.,1,318,animals
"Human uses for manta ray include tourism, research.",1,319,animals
"The tapir has a flexible, prehensile snout to grasp and manipulate food, and is an important seed disperser.",1,320,animals
The peacock has a diet of omnivore.,1,321,animals
The gazelle is a mammal.,1,322,animals
The dolphin has a diet of carnivore.,1,323,animals
The eagle is a bird.,1,324,animals
The skunk has a diet of omnivore.,1,325,animals
The rat has a habitat of urban/wild.,1,326,animals
The alpaca has a diet of herbivore.,1,327,animals
The otter has a diet of carnivore.,1,328,animals
The narwhal uses swimming for locomotion.,1,329,animals
The elephant is a mammal.,1,330,animals
The cassowary has a habitat of forest.,1,331,animals
"Human uses for zebra include tourism, zoos.",1,332,animals
The tarantula is a arachnid.,1,333,animals
"The whale is the largest animal on earth, with some species using baleen plates to filter food from water.",1,334,animals
The sparrow has a diet of omnivore.,1,335,animals
The armadillo is a mammal.,1,336,animals
The chicken has a habitat of farmland/urban.,1,337,animals
The alpaca has a habitat of mountain.,1,338,animals
"Human uses for cat include pets, pest control.",1,339,animals
There are no specific human uses for slug.,1,340,animals
The horse has a habitat of farmland/domestic.,1,341,animals
The swan uses swimming/flying for locomotion.,1,342,animals
The seagull has webbed feet for swimming and can drink both fresh and saltwater.,1,343,animals
"The leopard has a distinctive spotted coat and is an excellent climber, often hauling prey into trees.",1,344,animals
The bat uses flying for locomotion.,1,345,animals
The hyena has a habitat of grassland/savanna.,1,346,animals
The sparrow uses flying for locomotion.,1,347,animals
"The wolverine is a strong and fierce predator, despite its relatively small size, and has a thick, frost-resistant fur.",1,348,animals
There are no specific human uses for squirrel.,1,349,animals
The axolotl is a amphibian.,1,350,animals
"The parrot is known for its bright colors, intelligence, and ability to mimic human speech.",1,351,animals
The vulture has a diet of carnivore.,1,352,animals
The pigeon uses flying for locomotion.,1,353,animals
"The giant anteater has a long, sticky tongue for capturing ants and termites, and a keen sense of smell to locate prey.",1,354,animals
The penguin has a habitat of marine/polar.,1,355,animals
The chimpanzee is a mammal.,1,356,animals
The panda uses walking for locomotion.,1,357,animals
"Human uses for giraffe include tourism, zoos.",1,358,animals
The sea turtle has a diet of varies.,1,359,animals
The leopard has a diet of carnivore.,1,360,animals
The wolverine uses walking for locomotion.,1,361,animals
"The zebra has distinctive black and white stripes, which may help deter flies and provide camouflage.",1,362,animals
The hippopotamus uses walking/swimming for locomotion.,1,363,animals
The cassowary uses running for locomotion.,1,364,animals
"Human uses for chimpanzee include research, conservation, entertainment.",1,365,animals
The sea turtle has a habitat of marine.,1,366,animals
The ostrich is the largest and fastest-running bird and has two-toed feet.,1,367,animals
There are no specific human uses for gazelle.,1,368,animals
The squirrel has a habitat of forest/urban.,1,369,animals
The panda has a habitat of mountain bamboo forest.,1,370,animals
The rabbit has a habitat of grassland.,1,371,animals
The hummingbird is the smallest bird species and can hover in mid-air by rapidly flapping its wings.,1,372,animals
The gazelle has a habitat of grassland.,1,373,animals
The hummingbird is a bird.,1,374,animals
There are no specific human uses for seagull.,1,375,animals
There are no specific human uses for mongoose.,1,376,animals
"The panda primarily eats bamboo, has a pseudo-thumb for grasping, and is a symbol for wildlife conservation.",1,377,animals
The llama is a mammal.,1,378,animals
The slug is a mollusk.,1,379,animals
"Human uses for bee include pollination, honey production.",1,380,animals
The aardvark is a mammal.,1,381,animals
The bat has a diet of varies.,1,382,animals
The lion is known as the 'king of the jungle' and exhibits complex social behavior with a pride structure.,1,383,animals
The seagull is a bird.,1,384,animals
The jellyfish uses drifting for locomotion.,1,385,animals
The walrus has a diet of carnivore.,1,386,animals
The eagle uses flying for locomotion.,1,387,animals
The pigeon is a bird.,1,388,animals
The bison is the heaviest land animal in north america and forms large herds for protection.,1,389,animals
The shark has a habitat of marine.,1,390,animals
The panda has a diet of herbivore.,1,391,animals
The seahorse has a habitat of marine.,1,392,animals
The raccoon uses walking for locomotion.,1,393,animals
"Human uses for cow include meat, dairy products.",1,394,animals
"The mongoose is known for its agility and ability to kill venomous snakes, and has a thick coat to protect against bites.",1,395,animals
"The beaver builds dams and lodges out of sticks and mud, and has large, strong teeth for cutting trees.",1,396,animals
The snake has a habitat of terrestrial.,1,397,animals
The giant anteater has a habitat of grassland/forest.,1,398,animals
"Human uses for rat include pets, research, pest control.",1,399,animals
The bat is the only mammal capable of sustained flight and uses echolocation to navigate.,1,400,animals
The zebra has a habitat of grassland.,1,401,animals
The beaver is a mammal.,1,402,animals
The iguana uses climbing for locomotion.,1,403,animals
The koala is a mammal.,1,404,animals
The goldfish is a fish.,1,405,animals
The ostrich has a habitat of grassland.,1,406,animals
The lion has a habitat of grassland.,1,407,animals
The snake has a diet of carnivore.,1,408,animals
There are no specific human uses for octopus.,1,409,animals
The camel uses walking for locomotion.,1,410,animals
The dog has a habitat of domestic/urban.,1,411,animals
The ostrich is a bird.,1,412,animals
The jellyfish has a diet of carnivore.,1,413,animals
"Human uses for sea turtle include research, conservation.",1,414,animals
The crocodile has a powerful bite and can go without food for long periods of time.,1,415,animals
"Human uses for iguana include pets, research.",1,416,animals
There are no specific human uses for hummingbird.,1,417,animals
The skunk is a mammal.,1,418,animals
The pigeon has a strong homing instinct and has been used for communication and racing.,1,419,animals
The dolphin uses swimming for locomotion.,1,420,animals
There are no specific human uses for gecko.,1,421,animals
The elephant has a habitat of terrestrial.,1,422,animals
The seagull has a diet of omnivore.,1,423,animals
The platypus uses swimming for locomotion.,1,424,animals
The polar bear has thick white fur for insulation and black skin to absorb heat.,1,425,animals
There are no specific human uses for giant anteater.,1,426,animals
The tiger has distinctive orange and black stripes and is an apex predator.,1,427,animals
The walrus is a mammal.,1,428,animals
The manta ray has a diet of carnivore.,1,429,animals
The hippopotamus has a diet of herbivore.,1,430,animals
The rat has a diet of omnivore.,1,431,animals
The hamster has a diet of omnivore.,1,432,animals
The slug lacks a shell and secretes a slimy mucus for protection and locomotion.,1,433,animals
The parrot uses flying for locomotion.,1,434,animals
"The skunk has a strong, foul-smelling spray for defense, which can be accurately aimed at predators.",1,435,animals
"Human uses for panda include conservation, research, zoos.",1,436,animals
The hedgehog has a diet of insectivore.,1,437,animals
"The vulture feeds primarily on carrion, and has a bald head to prevent bacteria build-up while feeding.",1,438,animals
The zebra is a mammal.,1,439,animals
"Human uses for otter include research, conservation.",1,440,animals
The hummingbird has a diet of nectar.,1,441,animals
The sparrow has a habitat of urban/wild.,1,442,animals
The lobster is a crustacean.,1,443,animals
"Human uses for hamster include pets, research.",1,444,animals
The koala primarily eats eucalyptus leaves and has a specialized digestive system to detoxify the plant's natural toxins.,1,445,animals
The cat has a diet of carnivore.,1,446,animals
The snake is a reptile.,1,447,animals
"The hedgehog has a coat of sharp spines for protection, which it raises when threatened.",1,448,animals
The bison is a mammal.,1,449,animals
The sparrow is a bird.,1,450,animals
Human uses for salmon include food.,1,451,animals
The tiger uses walking for locomotion.,1,452,animals
The rabbit has long ears for detecting predators and strong hind legs for escaping.,1,453,animals
The koala uses walking for locomotion.,1,454,animals
The gecko has a diet of insectivore.,1,455,animals
The hummingbird uses flying for locomotion.,1,456,animals
The moose uses walking for locomotion.,1,457,animals
The tuna uses swimming for locomotion.,1,458,animals
The cat uses walking for locomotion.,1,459,animals
The swan has a habitat of freshwater.,1,460,animals
The moose is a mammal.,1,461,animals
"The manta ray has large, wing-like pectoral fins and filter-feeds on plankton with its wide mouth.",1,462,animals
The chimpanzee has a diet of omnivore.,1,463,animals
The jellyfish has a habitat of marine.,1,464,animals
The hyena uses walking for locomotion.,1,465,animals
"Human uses for parrot include pets, research, conservation.",1,466,animals
The cheetah is a mammal.,1,467,animals
The axolotl has a diet of carnivore.,1,468,animals
"Human uses for rabbit include pets, meat, fur.",1,469,animals
"The cassowary is a large, flightless bird with a helmet-like casque on its head and powerful legs with a dagger-like claw.",1,470,animals
The horse is a mammal.,1,471,animals
"The flamingo has long legs for wading and a specialized beak for filter-feeding, and obtains its pink color from the carotenoids in its diet.",1,472,animals
The porcupine has a habitat of various.,1,473,animals
The skunk has a habitat of various.,1,474,animals
"The hippopotamus spends most of its day in water and has a barrel-shaped body with large, sharp teeth for defense.",1,475,animals
The beaver uses swimming for locomotion.,1,476,animals
"Human uses for chicken include meat, eggs.",1,477,animals
The cheetah has a diet of carnivore.,1,478,animals
The wolverine is a mammal.,1,479,animals
The otter is a mammal.,1,480,animals
"The cheetah is the fastest land animal, reaching speeds up to 60-70 mph.",1,481,animals
The rat is a mammal.,1,482,animals
"The lobster has a hard exoskeleton, which it must molt to grow, and can live for over 50 years.",1,483,animals
The lion has a diet of carnivore.,1,484,animals
The flamingo has a diet of herbivore.,1,485,animals
"The porcupine has sharp quills for protection, which can be raised when threatened, and some species can climb trees.",1,486,animals
The rabbit uses hopping for locomotion.,1,487,animals
The seahorse is a fish.,1,488,animals
The tarantula has a habitat of various.,1,489,animals
"Human uses for alpaca include wool, meat, pets.",1,490,animals
The whale is a mammal.,1,491,animals
The koala has a diet of herbivore.,1,492,animals
There are no specific human uses for hippopotamus.,1,493,animals
The kangaroo has a diet of herbivore.,1,494,animals
The swan is a bird.,1,495,animals
The alpaca is a mammal.,1,496,animals
The crocodile has a habitat of freshwater.,1,497,animals
There are no specific human uses for hyena.,1,498,animals
The gorilla has a habitat of forest.,1,499,animals
The parrot has a habitat of forest.,1,500,animals
The horse has strong hind legs for powerful jumps and kicks.,1,501,animals
The hamster is a mammal.,1,502,animals
The vulture is a bird.,1,503,animals
The porcupine uses walking for locomotion.,1,504,animals
SAP has headquarters in Germany.,1,505,companies
Westpac Banking has headquarters in Australia.,1,506,companies
JPMorgan Chase operates in the industry of diversified financials.,1,507,companies
"Moller - Maersk engages in shipping, energy, transportation, offshore drilling, and retail activities.",1,508,companies
ANZ has headquarters in Australia.,1,509,companies
"AIA Group is an investment holding company, which engages in the provision of life insurance.",1,510,companies
Lloyds Banking Group operates in the industry of banking.,1,511,companies
Taiwan Semiconductor Manufacturing Company has headquarters in Taiwan.,1,512,companies
UBS Group is a holding company that engages in the provision of financial management solutions.,1,513,companies
Ping An Insurance (Group) Company of China has headquarters in China.,1,514,companies
Amazon.com operates in the industry of retailing.,1,515,companies
China Telecom engages in the provision of telecommunication services.,1,516,companies
Target has headquarters in United States.,1,517,companies
Thermo Fisher Scientific has headquarters in United States.,1,518,companies
Dell Technologies has headquarters in United States.,1,519,companies
Alphabet operates in the industry of it software & services.,1,520,companies
Munich Reinsurance operates in the industry of insurance.,1,521,companies
"AbbVie (ABBV) is a research-based biopharmaceutical company, which engages in the development and sale of pharmaceutical products.",1,522,companies
PNC Financial Services has headquarters in United States.,1,523,companies
CVS Health operates in the industry of retailing.,1,524,companies
Bank of Montreal has headquarters in Canada.,1,525,companies
Credit Agricole engages in the provision of banking and financial services.,1,526,companies
Johnson & Johnson operates in the industry of drugs & biotechnology.,1,527,companies
"Hon Hai Precision engages in the design, development and manufacturing of nanotechnology, heat transfer, wireless connectivity and material sciences products.",1,528,companies
"Dell Technologies is a holding company, which engages in the provision of information technology hardware, software, and service solutions through its subsidiaries.",1,529,companies
Mizuho Financial has headquarters in Japan.,1,530,companies
Hon Hai Precision has headquarters in Taiwan.,1,531,companies
Lockheed Martin has headquarters in United States.,1,532,companies
Westpac Banking operates in the industry of banking.,1,533,companies
Toronto-Dominion Bank has headquarters in Canada.,1,534,companies
BHP Group operates in the industry of materials.,1,535,companies
Raytheon Technologies has headquarters in United States.,1,536,companies
The Home Depot is the world's largest home improvement specialty retailer.,1,537,companies
Tencent Holdings is an investment company that engages in the provision of value-added services and online advertising services.,1,538,companies
PNC Financial Services operates in the industry of banking.,1,539,companies
KDDI has headquarters in Japan.,1,540,companies
Walt Disney has headquarters in United States.,1,541,companies
China Construction Bank has headquarters in China.,1,542,companies
Bristol Myers Squibb operates in the industry of drugs & biotechnology.,1,543,companies
Ford Motor operates in the industry of consumer durables.,1,544,companies
Rosneft has headquarters in Russia.,1,545,companies
Wells Fargo operates in the industry of banking.,1,546,companies
